Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
774	P06	50.857		2.76	1	 1.88358	 2.16574	 2.43496	 0.454543	  7.5	-0.275689	 0.00647018	0.890
775	P06	51.857		2.98	1	 1.86487	 2.17155	 2.43157	 0.451709	  8.0	-0.283353	 0.0233310	0.910
776	P06	52.857		3.13	1	 1.85814	 2.17051	 2.42750	 0.449791	  8.4	-0.284681	 0.0276926	0.952
777	P06	53.603	E35M58-446	3.20	1	 1.85988	 2.16679	 2.42303	 0.449007	  8.6	-0.281574	 0.0253318	0.996
778	P06	54.603		3.18	1	 1.86250	 2.15648	 2.43696	 0.449210	  8.5	-0.287228	 0.00675221	0.955
779	P06	55.603		3.13	1	 1.86734	 2.14734	 2.44671	 0.449807	  8.4	-0.289685	-0.00968684	0.926
780	P06	56.603		3.05	1	 1.87360	 2.14115	 2.44991	 0.450924	  8.2	-0.288157	-0.0205982	0.911
781	P06	57.603		2.91	1	 1.88056	 2.13939	 2.44474	 0.452635	  7.8	-0.282093	-0.0232581	0.907
782	P06	58.603		2.73	1	 1.88768	 2.14272	 2.43080	 0.454900	  7.4	-0.271560	-0.0165227	0.917
783	P06	59.603		2.53	1	 1.89456	 2.15073	 2.40947	 0.457532	  6.9	-0.257456	-0.00128364	0.938
784	P06	60.603		2.32	1	 1.90095	 2.16213	 2.38361	 0.460248	  6.3	-0.241334	 0.0198533	0.973
785	P06	61.118	E35M58-280	2.21	1	 1.90400	 2.16875	 2.36963	 0.461582	  6.0	-0.232816	 0.0319354	0.996
786	P06	62.118		2.45	1	 1.88678	 2.16792	 2.38875	 0.458466	  6.7	-0.250984	 0.0301503	0.945
787	P06	63.118		2.70	1	 1.87086	 2.16671	 2.40769	 0.455326	  7.3	-0.268412	 0.0274410	0.906
788	P06	64.118		2.94	1	 1.85680	 2.16529	 2.42563	 0.452256	  7.9	-0.284418	 0.0240751	0.877
789	P06	65.118		3.17	1	 1.84515	 2.16380	 2.44173	 0.449363	  8.5	-0.298294	 0.0203635	0.858
790	P06	66.118		3.38	1	 1.83641	 2.16238	 2.45520	 0.446755	  9.0	-0.309392	 0.0165759	0.850
791	P06	67.118		3.55	1	 1.83100	 2.16108	 2.46542	 0.444532	  9.5	-0.317207	 0.0128737	0.853
792	P06	68.118		3.70	1	 1.82915	 2.15989	 2.47206	 0.442768	  9.9	-0.321453	 0.00928755	0.866
793	P06	69.118		3.80	1	 1.83091	 2.15875	 2.47509	 0.441506	 10.1	-0.322089	 0.00575021	0.890
794	P06	70.118		3.86	1	 1.83609	 2.15757	 2.47471	 0.440753	 10.3	-0.319311	 0.00216336	0.924
795	P06	71.118		3.88	1	 1.84431	 2.15628	 2.47132	 0.440482	 10.3	-0.313507	-0.00153197	0.969
796	P06	71.162	HmpsE113	3.88	1	 1.84473	 2.15623	 2.47111	 0.440481	 10.3	-0.313190	-0.00169704	0.971
797	P06	72.162		4.32	1	 1.83153	 2.14795	 2.50480	 0.435020	 11.4	-0.336637	-0.0202103	0.936
798	P06	73.162		4.75	1	 1.82289	 2.13903	 2.53563	 0.429863	 12.5	-0.356370	-0.0402279	0.913
799	P06	74.162		5.13	1	 1.81949	 2.13022	 2.56095	 0.425304	 13.4	-0.370732	-0.0600031	0.904
800	P06	75.162		5.44	1	 1.82172	 2.12193	 2.57888	 0.421595	 14.2	-0.378580	-0.0783734	0.907
801	P06	76.162		5.67	1	 1.82950	 2.11436	 2.58858	 0.418880	 14.7	-0.379543	-0.0946748	0.923
802	P06	77.162		5.82	1	 1.84201	 2.10767	 2.59011	 0.417178	 15.1	-0.374052	-0.108386	0.952
803	P06	77.650	Hpms1_5-6_Q1	5.86	1	 1.84943	 2.10481	 2.58808	 0.416694	 15.2	-0.369328	-0.113943	0.971
804	P06	78.650		6.59	1	 1.84597	 2.08713	 2.63174	 0.408166	 16.9	-0.392889	-0.151726	0.952
805	P06	79.650		7.06	1	 1.84454	 2.08379	 2.64847	 0.402794	 18.0	-0.401963	-0.162717	0.963
806	P06	79.864	Epms_376	7.12	1	 1.84449	 2.08512	 2.64815	 0.402163	 18.1	-0.401827	-0.161202	0.969
807	P06	80.864		7.56	1	 1.82512	 2.08592	 2.66784	 0.397223	 19.1	-0.421358	-0.160560	0.932
808	P06	81.864		8.03	1	 1.80456	 2.08743	 2.68735	 0.392057	 20.2	-0.441397	-0.158524	0.898
809	P06	82.864		8.52	1	 1.78280	 2.08976	 2.70654	 0.386668	 21.3	-0.461869	-0.154912	0.867
810	P06	83.864		9.04	1	 1.75984	 2.09296	 2.72521	 0.381064	 22.4	-0.482686	-0.149562	0.838
811	P06	84.864		9.59	1	 1.73570	 2.09711	 2.74319	 0.375253	 23.6	-0.503744	-0.142336	0.813
812	P06	85.864		10.16	1	 1.71046	 2.10224	 2.76030	 0.369249	 24.8	-0.524920	-0.133147	0.790
813	P06	86.864		10.76	1	 1.68424	 2.10834	 2.77638	 0.363069	 26.1	-0.546071	-0.121969	0.770
814	P06	87.864		11.39	1	 1.65721	 2.11538	 2.79128	 0.356736	 27.4	-0.567035	-0.108860	0.752
815	P06	88.864		12.04	1	 1.62961	 2.12326	 2.80487	 0.350278	 28.7	-0.587631	-0.0939738	0.737
816	P06	89.864		12.71	1	 1.60175	 2.13184	 2.81706	 0.343731	 30.0	-0.607655	-0.0775699	0.724
817	P06	90.864		13.40	1	 1.57402	 2.14090	 2.82780	 0.337137	 31.4	-0.626892	-0.0600136	0.714
818	P06	91.864		14.10	1	 1.54685	 2.15019	 2.83707	 0.330547	 32.7	-0.645113	-0.0417641	0.707
819	P06	92.864		14.81	1	 1.52071	 2.15944	 2.84488	 0.324018	 34.0	-0.662082	-0.0233499	0.702
820	P06	93.864		15.53	1	 1.49612	 2.16835	 2.85126	 0.317613	 35.3	-0.677571	-0.00533334	0.699
821	P06	94.864		16.23	1	 1.47353	 2.17663	 2.85626	 0.311399	 36.6	-0.691364	 0.0117319	0.699
822	P06	95.864		16.92	1	 1.45340	 2.18402	 2.85995	 0.305444	 37.8	-0.703272	 0.0273455	0.702
823	P06	96.864		17.58	1	 1.43609	 2.19032	 2.86237	 0.299813	 39.0	-0.713140	 0.0410987	0.707
824	P06	97.864		18.21	1	 1.42184	 2.19540	 2.86356	 0.294564	 40.0	-0.720857	 0.0527023	0.714
825	P06	98.864		18.80	1	 1.41083	 2.19919	 2.86355	 0.289750	 41.0	-0.726360	 0.0619996	0.724
826	P06	99.864		19.33	1	 1.40310	 2.20170	 2.86238	 0.285409	 41.9	-0.729638	 0.0689636	0.737
827	P06	100.864		19.82	1	 1.39858	 2.20299	 2.86003	 0.281569	 42.7	-0.730725	 0.0736828	0.752
828	P06	101.864		20.24	1	 1.39714	 2.20317	 2.85654	 0.278245	 43.4	-0.729700	 0.0763363	0.770
829	P06	102.864		20.60	1	 1.39856	 2.20240	 2.85191	 0.275439	 43.9	-0.726676	 0.0771666	0.790
830	P06	103.864		20.90	1	 1.40257	 2.20082	 2.84616	 0.273145	 44.4	-0.721796	 0.0764516	0.813
831	P06	104.864		21.13	1	 1.40890	 2.19860	 2.83935	 0.271343	 44.8	-0.715224	 0.0744803	0.839
